Nome: CAMPOS
Codigo Estacao: 83698
Latitude: -21.74249999
Longitude: -41.33277777
Altitude: 11.2
Situacao: Operante
Data Inicial: 1961-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);
1961-01-01;null;30,1;25,54;22,7;
1961-01-02;3,9;29,3;25,3;23,2;
1961-01-03;13,1;29,4;25,36;23,1;
1961-01-04;26,6;32,6;25,84;22,4;
1961-01-05;0;28,1;25,08;23,4;
1961-01-06;17,5;34;26,6;22,6;
1961-01-07;3,6;34,3;27,44;23,3;
1961-01-08;5,9;29,5;25,72;23,5;
1961-01-09;1;32,2;25,64;22,4;
1961-01-10;16,1;29,7;25,42;22,6;
1961-01-11;11;31,1;26,34;22;
1961-01-12;0;26,8;23,96;22,6;
1961-01-13;0;28,2;23,56;21,4;
1961-01-14;25,6;27,3;23,4;20,8;
1961-01-15;0;29,1;24,4;19,4;
1961-01-16;0;30,6;26,02;22,2;
1961-01-17;0;31,4;26,28;21,4;
1961-01-18;0;33,6;26,92;21,9;
1961-01-19;0;32,6;26,94;22,4;
1961-01-20;0;29,9;25,72;20,9;
1961-01-21;0;31,6;26,4;22,4;
1961-01-22;0;34,4;26,96;21,5;
1961-01-23;0;32,9;27,26;22,6;
1961-01-24;0;34,7;26,92;23,6;
1961-01-25;3,2;33,9;27,58;23,6;
1961-01-26;33,9;25,7;23,2;22,1;
1961-01-27;9,7;27,3;23,96;21,4;
1961-01-28;1,6;28,2;24,68;22,1;
1961-01-29;2;32,3;26,26;23;
1961-01-30;53,2;33,4;26,76;23,4;
1961-01-31;17;32;26,1;22,9;
1961-02-01;1,2;33,6;27,24;22,9;
1961-02-02;0;31;26,3;22,7;
1961-02-03;0;30,6;26,24;22,2;
1961-02-04;0;30,3;26,54;23,6;
1961-02-05;0;32,6;27;23;
1961-02-06;0;34,2;27,62;23,6;
1961-02-07;0;32,9;26,78;22;
1961-02-08;0;35;27,72;22,8;
1961-02-09;0;33,3;27,46;23,3;
1961-02-10;0;32;27,12;23,2;
1961-02-11;0;35,7;27,88;22,7;
1961-02-12;0;31,9;25,3;21,6;
1961-02-13;36,6;31,9;25,18;22,1;
1961-02-14;27,1;23,2;19,84;18;
1961-02-15;34,3;22,8;21,36;18;
1961-02-16;10,4;30,3;25,48;21,3;
1961-02-17;0;28,8;25,48;22;
1961-02-18;7,8;28,8;25,7;22,1;
1961-02-19;0;32,3;26,7;23;
1961-02-20;0;31;26,32;23,2;
1961-02-21;0;31,2;27;23,4;
1961-02-22;0;34,4;27,64;23;
1961-02-23;0;34,2;27,58;22,7;
1961-02-24;0;31,2;26,52;22;
1961-02-25;0;35;27,58;22,2;
1961-02-26;0;35,3;27,76;22,6;
1961-02-27;0;36;27,68;22,9;
1961-02-28;0;35,5;28,24;22,7;
1961-03-01;0;33,7;26,98;22,8;
1961-03-02;11,1;28,4;23,96;21,8;
1961-03-03;0;29,9;24,7;20,3;
1961-03-04;0;29,3;25,78;20,4;
1961-03-05;0;31,7;26,74;22,2;
1961-03-06;0;31,8;27,06;23,8;
1961-03-07;0;30,6;26,7;23,1;
1961-03-08;0;30,3;26,32;23,9;
1961-03-09;0;35,2;27,62;23,9;
1961-03-10;0;35,4;28,18;23,1;
1961-03-11;0;35,2;27,78;23,8;
1961-03-12;0;34,2;27,36;23,2;
1961-03-13;0;33,9;27,44;22,8;
1961-03-14;0;35,5;27,7;21,8;
1961-03-15;0;35,6;27,78;22,2;
1961-03-16;0;35;27,72;22,8;
1961-03-17;0;36,1;28,28;23,3;
1961-03-18;0;37;28,44;23;
1961-03-19;0;35,2;27,2;23,8;
1961-03-20;1,9;29,7;26,28;22,8;
1961-03-21;0;29,8;26,8;22,8;
1961-03-22;0;30;27,24;25,6;
1961-03-23;0;30;26,1;22,1;
1961-03-24;0;30,3;26,4;22,2;
1961-03-25;0;30;25,76;21,8;
1961-03-26;0;33,9;26,86;21,2;
