Nome: CAMPOS
Codigo Estacao: 83698
Latitude: -21.74249999
Longitude: -41.33277777
Altitude: 11.2
Situacao: Operante
Data Inicial: 1961-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1961-01-31;5;51,7;null;null;163,5;8,402174;17;244,9;null;1009,593478;30,845161;25,727742;22,348387;84,274194;10,6;2,817391;72,548387;
1961-02-28;5;57,8;null;null;211,8;6,72619;6;117,4;null;1011,438095;31,964286;26,402143;22,314286;79,732143;7,8;2,55;72,392857;
1961-03-31;0;80,8;null;null;242;6,354839;6;18,7;null;1012,582796;31,825806;26,187097;22,112903;76,201613;8,9;2,503226;74,419355;
1961-04-30;0;58,3;null;null;230,2;5,055556;8;78;null;1013,338889;30,96;25,022667;20,64;79,991667;8,9;1,93;77,166667;
1961-05-31;0;20,6;null;null;217,1;5,408602;9;42,7;null;1016,427957;28,906452;22,883871;18,693548;81,58871;7,3;1,15914;75,516129;
1961-06-30;0;17,2;null;null;181,5;5,477778;14;74;null;1019,372222;26,913333;21,533333;17,656667;84,4;7,3;1,424444;69,633333;
1961-07-31;0;49,9;null;null;223,1;4,709677;10;82,5;null;1019,241935;26,887097;20,74129;16,070968;82,306452;6,5;1,843011;72,16129;
1961-08-31;0;66,4;null;null;274,6;3,236559;2;9,5;null;1018,1;29,070968;21,993548;16,93871;78,104839;10,6;2,558065;61,209677;
1961-09-30;5;78,7;null;null;72,7;5,888889;3;4;null;1013,64;30,593333;24,026667;19,473333;76,075;11,6;3,655556;38,733333;
1961-10-31;5;99,9;null;null;229,4;6,666667;5;19,3;null;1014,851613;29,990323;24,551613;20,177419;73,491935;13;4,68172;44,258065;
1961-11-30;5;93,7;null;null;214,1;7,244444;8;65,9;null;1011,286667;30,916667;24,970667;20,46;73,583333;10,6;3,218889;44,916667;
1961-12-31;5;90,7;null;null;220,8;8,064516;10;126;null;1011,724731;30,635484;25,375484;21,212903;76,935484;13;3,72043;60,403226;
1962-01-31;0;60,8;null;null;203;7,870968;14;251,9;null;1009,496774;32,019355;26,201935;22,354839;83,258065;10,6;1,605376;69,274194;
1962-02-28;0;48;null;null;123,9;9,27381;15;147,2;null;1010,590476;31,353571;25,927143;22,410714;82,839286;9,6;1,714286;68,535714;
1962-03-31;5;76,9;null;null;255,3;6,548387;6;42,1;null;1012,403226;31,76129;26,299355;21,974194;78,604839;7,8;2,393548;80,580645;
1962-04-30;0;66,9;null;null;234,3;6,455556;4;77,4;null;1013,812222;30,4;24,303333;19,856667;77,725;7,3;1,443333;76,8;
1962-05-31;0;53,6;null;null;191,1;6,215054;9;98,3;null;1016,506452;27,445161;21,888387;17,874194;80,08871;5,8;1,097849;72,629032;
1962-06-30;0;51;null;null;168,7;5,988889;5;6,9;null;1019,41;24,993333;19,348667;14,98;78,891667;5,2;1,017778;68,533333;
1962-07-31;0;55,2;null;null;170,4;6,107527;7;34,8;null;1020,002151;25,912903;20,050323;15,812903;80,41129;8,3;1,851613;69,548387;
1962-08-31;0;74,5;null;null;226,5;5,505376;1;2,1;null;1017,832258;28,145161;21,433548;16,658065;75,935484;8,9;2,267742;67,193548;
1962-09-30;5;69,1;null;null;160,8;6,9;6;52,7;null;1016,69;27,68;22,27;17,873333;76,941667;8,9;2,528889;59,55;
1962-10-31;0;57,8;null;null;112,3;8,741935;17;131,8;null;1015,486022;26,825806;22,317419;18,880645;80,725806;6,8;1,711828;58;
1962-11-30;0;62,1;null;null;208,5;6,311111;9;128,7;null;1011,901111;29,583333;24,2;20,156667;80,258333;7,3;2,352222;64,95;
