"EST";"Ano Inicial";"Ano Final";"F(%)-Prec";"F(%)-Tmax";"F(%)-Tmed";"F(%)-Tmin"
"EST_83007";"31/5/1966";"31/12/2021";"7.27";"7.21";"81.3";"7.1"
"EST_83017";"30/4/1963";"30/10/1966";"76.72";"77.03";"77.66";"76.33"
"EST_83031";"20/2/1961";"28/9/1964";"0.38";"0.08";"0.38";"0.15"
"EST_83048";"31/1/1977";"5/5/2019";"46.42";"46.04";"77.59";"45.87"
"EST_83049";"31/3/1971";"31/12/2021";"44.66";"33.16";"42.84";"32.71"
"EST_83052";"30/6/1982";"9/12/2007";"31.83";"16.07";"30.11";"16.46"
"EST_83057";"3/4/1979";"12/1/1997";"47.47";"17.43";"36.37";"17.17"
"EST_83087";"14/1/1985";"3/7/2007";"53.62";"9.01";"78.11";"6.91"
"EST_83089";"31/10/1986";"31/5/2018";"28.28";"13.9";"30.56";"12.08"
"EST_83111";"2/6/1986";"31/5/1991";"100";"53.48";"73.26";"40.33"
"EST_83114";"31/12/1969";"31/12/2021";"40.97";"42.93";"45.95";"45.71"
"EST_83660";"31/3/1984";"31/8/1998";"57";"25.37";"47.18";"19.42"
"EST_83695";"1/1/1961";"31/12/2021";"21.82";"24.49";"27.61";"23.16"
"EST_83696";"1/1/1961";"31/12/2021";"14.65";"17.93";"72.28";"14.6"
"EST_83697";"1/1/1961";"30/6/2003";"76.97";"32.08";"87.28";"32.09"
"EST_83698";"1/1/1961";"31/12/2021";"15.89";"3.76";"16.5";"3.61"
"EST_83699";"1/1/1961";"30/9/1963";"6.08";"5.98";"5.98";"5.98"
"EST_83718";"15/7/1971";"31/12/2021";"18.67";"5.18";"27.43";"5.01"
"EST_83719";"31/3/1966";"31/10/1987";"18.77";"12.78";"25.38";"12.39"
"EST_83738";"1/1/1961";"31/12/2021";"16.89";"6.72";"22.47";"5.66"
"EST_83740";"1/1/1961";"24/8/1964";"0.53";"0.08";"0.38";"0"
"EST_83741";"1/1/1961";"30/12/2007";"18.96";"7.62";"15.61";"7.14"
"EST_83742";"1/1/1961";"31/5/1990";"24.58";"10.3";"25.36";"10.13"
"EST_83743";"1/1/1961";"4/4/2017";"33.1";"20.14";"31.09";"23.57"
"EST_83744";"1/1/1961";"31/12/2021";"51.02";"39.43";"97.6";"39.44"
"EST_83745";"1/1/1961";"18/3/2003";"44.37";"12.84";"51.79";"11.34"
"EST_83747";"1/1/1961";"28/2/1969";"8.19";"8.15";"8.15";"8.15"
"EST_83752";"1/1/1961";"30/9/1978";"6.39";"17.34";"17.48";"6.63"
"EST_83753";"1/1/1961";"31/1/1968";"6.53";"6.42";"6.65";"6.53"
"EST_83754";"1/1/1961";"30/11/1977";"19.49";"23.1";"23.23";"19.12"
"EST_83756";"1/1/1961";"29/4/1966";"19.13";"15.22";"22.31";"21.59"
"EST_83757";"1/1/1961";"4/12/2006";"38.26";"24.88";"54.02";"24.34"
"EST_83758";"5/12/1971";"30/11/1994";"40.5";"12.7";"33.25";"12.21"
"EST_83762";"1/1/1961";"31/12/1966";"8.67";"8.35";"8.35";"8.35"
"EST_83763";"1/1/1961";"31/8/1993";"33.01";"22.06";"33.94";"21.74"
"EST_83764";"1/1/1961";"30/12/1970";"0.9";"6.93";"6.93";"0.85"
"EST_83765";"1/1/1961";"3/7/1976";"5.09";"4.93";"4.96";"4.86"
"EST_83787";"1/1/1961";"6/12/1967";"100";"100";"100";"100"
"EST_83788";"1/1/1961";"30/4/2017";"21.08";"21.44";"61.34";"21.34"
"EST_83789";"1/1/1961";"18/12/2019";"14.71";"14.27";"83.56";"14.3"
"EST_83790";"1/1/1961";"27/3/2004";"1.08";"0.94";"65.47";"0.92"
"EST_83791";"1/1/1961";"9/5/1977";"4.1";"2.48";"22.38";"0.54"
"EST_83792";"1/1/1961";"31/12/1978";"17.39";"13.45";"28.6";"13.57"
"EST_83793";"1/1/1961";"26/12/1984";"33.99";"32.23";"44.48";"32.12"
"EST_83796";"1/1/1961";"18/6/2003";"66.94";"63.63";"79.43";"63.43"
"EST_83798";"1/1/1961";"31/5/1990";"57.49";"57.06";"57.57";"57.18"
"EST_83801";"28/2/1971";"31/12/2021";"47.6";"47.41";"91.09";"47.55"
"EST_83802";"1/1/1961";"30/11/1982";"8.87";"8.96";"9.67";"8.83"
"EST_83803";"1/1/1961";"29/10/1968";"2.17";"3.39";"5.53";"3.36"
"EST_83805";"1/1/1961";"31/12/2021";"40.58";"32.59";"43.34";"32.95"
"EST_83806";"1/1/1961";"31/12/1980";"6.74";"9.75";"11.98";"9.6"
"EST_83807";"1/1/1961";"31/3/2019";"7.64";"8.32";"74.77";"7.54"
"EST_83815";"1/1/1961";"31/8/1969";"0.06";"0.09";"0.09";"0.06"
