Nome: CAMPOS
Codigo Estacao: 83698
Latitude: -21.74249999
Longitude: -41.33277777
Altitude: 11.2
Situacao: Operante
Data Inicial: 1961-01-01
Data Final: 2024-10-19
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1961-01-31;25,7;
1961-02-28;26,4;
1961-03-31;26,2;
1961-04-30;25;
1961-05-31;22,9;
1961-06-30;21,5;
1961-07-31;20,7;
1961-08-31;22;
1961-09-30;24;
1961-10-31;24,6;
1961-11-30;25;
1961-12-31;25,4;
1962-01-31;26,2;
1962-02-28;25,9;
1962-03-31;26,3;
1962-04-30;24,3;
1962-05-31;21,9;
1962-06-30;19,3;
1962-07-31;20,1;
1962-08-31;21,4;
1962-09-30;22,3;
1962-10-31;22,3;
1962-11-30;24,2;
1962-12-31;25,1;
1963-01-31;27,1;
1963-02-28;26,3;
1963-03-31;27,4;
1963-04-30;24,7;
1963-05-31;22,2;
1963-06-30;20,9;
1963-07-31;20,5;
1963-08-31;21,2;
1963-09-30;23,2;
1963-10-31;24,3;
1963-11-30;25,5;
1963-12-31;25,1;
1964-01-31;25;
1964-02-29;26,2;
1964-03-31;25,3;
1964-04-30;24,4;
1964-05-31;21,7;
1964-06-30;20,8;
1964-07-31;18,9;
1964-08-31;21;
1964-09-30;22,1;
1964-10-31;22,5;
1964-11-30;23,3;
1964-12-31;24,4;
1965-01-31;25,1;
1965-02-28;26,1;
1965-03-31;25,2;
1965-04-30;24,3;
1965-05-31;22,7;
1965-06-30;21,9;
1965-07-31;20,8;
1965-08-31;22,1;
1965-09-30;23,2;
1965-10-31;23,1;
1965-11-30;24,6;
1965-12-31;26,7;
1966-01-31;26,2;
1966-02-28;27,1;
1966-03-31;26,5;
1966-04-30;23,9;
1966-05-31;22,6;
1966-06-30;21,5;
1966-07-31;20,8;
1966-08-31;20,7;
1966-09-30;21,6;
1966-10-31;23,9;
1966-11-30;23,9;
1966-12-31;26,1;
1967-01-31;26,3;
1967-02-28;27;
1967-03-31;26,1;
1967-04-30;24,5;
1967-05-31;22,7;
1967-06-30;22;
1967-07-31;20,5;
1967-08-31;22;
1967-09-30;22,3;
1967-10-31;24,4;
1967-11-30;24,4;
1967-12-31;23,7;
1968-01-31;26;
1968-02-29;24,7;
1968-03-31;25,5;
1968-04-30;22,5;
1968-05-31;20,1;
1968-06-30;19,4;
1968-07-31;19,6;
1968-08-31;19,6;
1968-09-30;20,8;
1968-10-31;21,7;
1968-11-30;24,3;
1968-12-31;25,3;
1969-01-31;26,6;
1969-02-28;27;
1969-03-31;26,1;
1969-04-30;24,1;
1969-05-31;23;
1969-06-30;21,3;
1969-07-31;20,4;
1969-08-31;21,2;
1969-09-30;22,3;
1969-10-31;22,2;
1969-11-30;24,8;
1969-12-31;23,9;
1970-01-31;25,6;
1970-02-28;26;
1970-03-31;26,5;
1970-04-30;24,2;
1970-05-31;23,2;
1970-06-30;22;
1970-07-31;19,7;
1970-08-31;20,8;
1970-09-30;21,6;
1970-10-31;22,3;
1970-11-30;23;
1970-12-31;26,5;
1971-01-31;26,8;
1971-02-28;27,7;
1971-03-31;27;
1971-04-30;24,9;
1971-05-31;23;
1971-06-30;20,9;
1971-07-31;20,8;
1971-08-31;21,2;
1971-09-30;21,8;
1971-10-31;22;
1971-11-30;22,8;
1971-12-31;25,5;
1972-01-31;27;
1972-02-29;26,5;
1972-03-31;26,7;
1972-04-30;23,5;
1972-05-31;22,4;
1972-06-30;22,2;
1972-07-31;20,8;
1972-08-31;21,6;
1972-09-30;22,1;
1972-10-31;23,4;
1972-11-30;24,9;
1972-12-31;25,8;
1973-01-31;28;
1973-02-28;27,9;
1973-03-31;26,1;
1973-04-30;26,4;
1973-05-31;22,8;
1973-06-30;22,9;
1973-07-31;22;
1973-08-31;21,6;
1973-09-30;22;
1973-10-31;22,5;
1973-11-30;22,8;
1973-12-31;25,9;
1974-01-31;26,6;
1974-02-28;26,6;
1974-03-31;26,4;
1974-04-30;24,3;
1974-05-31;23,2;
1974-06-30;20,7;
1974-07-31;20,8;
1974-08-31;21,7;
1974-09-30;22,9;
1974-10-31;23,6;
1974-11-30;24,3;
1974-12-31;24,7;
1975-01-31;25,4;
1975-02-28;27;
1975-03-31;26,5;
1975-04-30;23,3;
1975-05-31;21,6;
1975-06-30;20,8;
1975-07-31;19,5;
1975-08-31;22,4;
1975-09-30;22,2;
1975-10-31;23,4;
1975-11-30;24,3;
1975-12-31;25,7;
1976-01-31;26,7;
